model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
 Q5,2019.0,33390.0,Automatic,45.0,Diesel,145.0,39.2,0.0,Audi
 Fiesta,2018.0,10995.0,Manual,,Petrol,145.0,58.9,1.0,ford
 Up,2017.0,6990.0,Manual,21827.0,Petrol,150.0,60.1,,volkswagen
 A1,2016.0,10600.0,Manual,,Diesel,0.0,76.3,1.6,Audi
 Focus,2015.0,9800.0,Manual,,Petrol,20.0,61.4,1.0,ford
 Corsa,2017.0,9675.0,Manual,11384.0,Petrol,145.0,49.6,1.4,vauxhall
 4 Series,,23470.0,Automatic,15307.0,Diesel,145.0,52.3,,BMW
 Focus,2015.0,8000.0,Manual,,Petrol,20.0,,,ford
 Corsa,2017.0,7991.0,Manual,21053.0,Petrol,150.0,,1.4,vauxhall
 Polo,2016.0,9850.0,Manual,31522.0,Petrol,20.0,,1.2,volkswagen
 Focus,2016.0,,Manual,27036.0,Diesel,0.0,74.3,,ford
 A3,2017.0,18998.0,Semi-Auto,,Petrol,30.0,56.5,1.4,Audi
 5 Series,2017.0,22322.0,Semi-Auto,42295.0,Diesel,145.0,60.1,2.0,BMW
 Passat,2016.0,11699.0,Manual,52538.0,Diesel,20.0,67.3,2.0,volkswagen
 Focus,2016.0,9999.0,Manual,16000.0,Petrol,20.0,60.1,1.0,ford
 Mokka X,2018.0,,Manual,10770.0,Petrol,145.0,39.2,1.4,vauxhall
 Aygo,2019.0,9790.0,Manual,3500.0,Petrol,145.0,56.5,1.0,toyota
 5 Series,2017.0,,Semi-Auto,20657.0,Diesel,145.0,60.1,2.0,BMW
 Fabia,2019.0,10990.0,Manual,14315.0,Petrol,145.0,57.7,1.0,skoda
 Golf,2019.0,25390.0,Automatic,,Petrol,150.0,,,volkswagen
 A Class,2020.0,24780.0,Manual,9.0,Petrol,145.0,,,merc
 Q3,,,Semi-Auto,27490.0,Petrol,145.0,47.9,1.4,Audi
 Fiesta,2014.0,6401.0,Manual,,Petrol,0.0,65.7,1.0,ford
 4 Series,2020.0,25980.0,Semi-Auto,101.0,Diesel,145.0,65.7,2.0,BMW
 C Class,,12500.0,Automatic,,Diesel,150.0,53.3,2.1,merc
 Tiguan,2017.0,,Manual,38170.0,Diesel,,58.9,2.0,volkswagen
 Octavia,,,Semi-Auto,13863.0,Diesel,145.0,70.6,1.6,skoda
 Golf,,18298.0,Manual,,Petrol,145.0,,1.5,volkswagen
 Tiguan,2020.0,26950.0,Manual,5000.0,Diesel,145.0,47.9,2.0,volkswagen
 Octavia,2019.0,12650.0,Manual,14647.0,Diesel,145.0,68.9,,skoda
 Yaris,2016.0,12495.0,Automatic,11000.0,Hybrid,0.0,78.0,,toyota
 E Class,,21995.0,Automatic,15000.0,Diesel,135.0,,2.1,merc
 A4,2019.0,26950.0,Automatic,10000.0,Diesel,,44.8,2.0,Audi
 Yaris,2017.0,13256.0,Automatic,,Hybrid,0.0,86.0,1.5,toyota
 Octavia,2018.0,11998.0,Manual,21831.0,Diesel,150.0,,1.6,skoda
 Corsa,2018.0,,Manual,7222.0,Petrol,150.0,,1.4,vauxhall
 Superb,2016.0,13298.0,Manual,49304.0,Diesel,20.0,68.9,,skoda
 C Class,2019.0,29399.0,Semi-Auto,,Petrol,145.0,42.2,1.6,merc
 Q2,2019.0,26990.0,Automatic,5000.0,Diesel,145.0,46.3,2.0,Audi
 Fiesta,2015.0,7599.0,Manual,24329.0,Diesel,,78.5,1.5,ford
 5 Series,2019.0,39480.0,Automatic,4859.0,Petrol,145.0,29.1,3.0,BMW
 Astra,2016.0,10499.0,Automatic,46104.0,Diesel,125.0,61.4,1.6,vauxhall
 Tucson,2017.0,15980.0,Manual,,Diesel,30.0,61.7,1.7,hyundi
 Golf,2014.0,9020.0,Manual,52294.0,Petrol,30.0,53.3,1.4,volkswagen
 Fiesta,2016.0,8998.0,Manual,6146.0,Petrol,125.0,54.3,1.2,ford
 A3,,19995.0,Manual,17789.0,Petrol,145.0,,1.5,Audi
 Q2,2020.0,26500.0,Automatic,10.0,Petrol,145.0,42.2,1.5,Audi
 Tiguan,,22490.0,Manual,14448.0,Diesel,145.0,50.4,2.0,volkswagen
 Yaris,2017.0,10981.0,Automatic,15441.0,Petrol,145.0,60.1,1.5,toyota
 3 Series,2011.0,,Manual,190000.0,Diesel,20.0,68.9,2.0,BMW
 Mokka X,2019.0,12600.0,Manual,,Petrol,145.0,39.2,1.4,vauxhall
 Astra,2016.0,7999.0,Manual,59531.0,Petrol,125.0,52.3,1.4,vauxhall
 2 Series,2019.0,25490.0,Automatic,3339.0,Diesel,145.0,49.6,2.0,BMW
 Mokka,,9995.0,Manual,20462.0,Diesel,30.0,65.7,1.6,vauxhall
 Tiguan,,15499.0,Automatic,25958.0,Diesel,155.0,49.6,2.0,volkswagen
 C Class,2020.0,32980.0,Semi-Auto,16.0,Diesel,145.0,61.4,2.0,merc
 Golf,2019.0,,Manual,13910.0,Petrol,145.0,49.6,1.0,volkswagen
 3 Series,2013.0,,Automatic,94000.0,Diesel,150.0,55.4,,BMW
 3 Series,2017.0,,Semi-Auto,24628.0,Petrol,145.0,47.9,2.0,BMW
 A3,2014.0,9395.0,Manual,48000.0,Diesel,0.0,74.3,1.6,Audi
 C Class,2019.0,,Semi-Auto,5164.0,Petrol,145.0,45.6,1.5,merc
 GLA Class,2019.0,24999.0,Semi-Auto,,Diesel,145.0,64.2,2.1,merc
 Aygo,2018.0,8750.0,Automatic,14624.0,Petrol,,67.0,1.0,toyota
 EcoSport,2017.0,10997.0,Manual,16683.0,Petrol,145.0,53.3,1.0,ford
 Kuga,2018.0,14700.0,Manual,25352.0,Diesel,145.0,64.2,1.5,ford
 Kuga,2017.0,14000.0,Manual,,Diesel,30.0,64.2,1.5,ford
 GLA Class,2019.0,,Manual,6587.0,Petrol,145.0,40.9,1.6,merc
 Focus,2017.0,,Manual,39414.0,Diesel,150.0,74.3,1.5,ford
 E Class,2015.0,14790.0,Semi-Auto,,Diesel,125.0,,2.1,merc
 Fabia,2018.0,9995.0,Manual,,Petrol,150.0,57.7,,skoda
 1 Series,2017.0,14610.0,Semi-Auto,30939.0,Diesel,30.0,65.7,2.0,BMW
 Yaris,2018.0,11395.0,Manual,19325.0,Petrol,,56.5,1.5,toyota
 A5,2019.0,26500.0,Automatic,3797.0,Diesel,145.0,50.4,2.0,Audi
 A6,2018.0,37995.0,Manual,30.0,Diesel,145.0,39.2,3.0,Audi
 Fiesta,2017.0,8850.0,Manual,,Petrol,125.0,,1.2,ford
 Mokka X,2017.0,11471.0,Manual,16047.0,Petrol,150.0,,1.4,vauxhall
 Astra,2017.0,10295.0,Manual,27337.0,Petrol,125.0,51.4,1.4,vauxhall
 Up,2020.0,11528.0,Manual,5000.0,Petrol,145.0,54.3,1.0,volkswagen
 Yaris,2018.0,10500.0,Manual,9290.0,Petrol,145.0,47.1,1.5,toyota
 Tucson,2016.0,11780.0,Semi-Auto,66899.0,Diesel,125.0,,1.7,hyundi
 C Class,2015.0,16592.0,Semi-Auto,25230.0,Diesel,20.0,64.2,2.1,merc
 Polo,2016.0,12995.0,Automatic,6981.0,Other,20.0,60.1,1.2,volkswagen
 1 Series,2017.0,14300.0,Manual,21323.0,Petrol,,52.3,1.5,BMW
 Corsa,,8434.0,Automatic,45825.0,Petrol,150.0,47.9,1.4,vauxhall
 Kuga,2017.0,16998.0,Manual,13626.0,Diesel,125.0,60.1,,ford
 Astra,2017.0,9900.0,Manual,29095.0,Petrol,145.0,62.8,1.0,vauxhall
 Mokka X,2017.0,10590.0,Manual,16030.0,Petrol,,47.1,1.4,vauxhall
 Q2,2019.0,,Manual,5000.0,Diesel,145.0,,1.6,Audi
 Focus,2016.0,,Manual,24800.0,Diesel,0.0,,,ford
 X1,2014.0,,Automatic,28375.0,Diesel,160.0,,,BMW
 1 Series,,25950.0,Semi-Auto,,Diesel,145.0,67.3,2.0,BMW
 C Class,,27950.0,Semi-Auto,6004.0,Diesel,145.0,54.3,2.0,merc
 Q2,2018.0,18990.0,Manual,8100.0,Petrol,150.0,52.3,1.4,Audi
 Tiguan,2017.0,21780.0,Manual,33187.0,Diesel,145.0,50.4,2.0,volkswagen
 A3,2017.0,14500.0,Automatic,26156.0,Petrol,145.0,58.9,1.4,Audi
 Yaris,,11995.0,Manual,10993.0,Petrol,145.0,56.5,,toyota
 EcoSport,2015.0,8997.0,Manual,,Petrol,160.0,44.8,1.5,ford
 Fiesta,2015.0,8995.0,Manual,20000.0,Petrol,0.0,65.7,1.0,ford
 Aygo,2019.0,11950.0,Manual,4930.0,Petrol,145.0,,1.0,toyota
 C Class,2019.0,28000.0,Semi-Auto,10648.0,Petrol,145.0,44.1,2.0,merc
 Fiesta,2014.0,7020.0,Manual,16463.0,Petrol,,54.3,1.2,ford
 Astra,2019.0,14000.0,Manual,6874.0,Petrol,150.0,47.9,1.4,vauxhall
 Focus,,19499.0,Automatic,430.0,Petrol,,51.4,1.0,ford
 Aygo,2014.0,6385.0,Manual,26866.0,Petrol,,69.0,1.0,toyota
 Golf,,11498.0,Manual,33955.0,Diesel,0.0,74.3,1.6,volkswagen
 Q5,2020.0,37682.0,Semi-Auto,3116.0,Diesel,150.0,,2.0,Audi
 E Class,,12795.0,Automatic,99100.0,Diesel,,60.1,2.1,merc
 I10,2017.0,8380.0,Manual,19230.0,Petrol,,57.7,1.2,hyundi
 C Class,2019.0,28000.0,Automatic,,Diesel,,53.3,2.0,merc
 Fiesta,,8600.0,Manual,32408.0,Petrol,0.0,,1.0,ford
 A3,2020.0,,Semi-Auto,8215.0,Petrol,145.0,34.5,2.0,Audi
 A1,2020.0,18330.0,Manual,1322.0,Petrol,145.0,49.6,1.0,Audi
 Astra,2006.0,850.0,Manual,139905.0,Diesel,145.0,54.3,1.7,vauxhall
 Fiesta,2018.0,,Automatic,37127.0,Petrol,,54.3,1.0,ford
 E Class,2019.0,36500.0,Semi-Auto,5000.0,Hybrid,135.0,188.3,2.0,merc
 Tiguan,2015.0,13795.0,Semi-Auto,59040.0,Diesel,200.0,47.1,2.0,volkswagen
 A5,2015.0,20990.0,Semi-Auto,34500.0,Diesel,200.0,44.8,3.0,Audi
 Kuga,2017.0,15300.0,Manual,24477.0,Diesel,125.0,,2.0,ford
 2 Series,2019.0,20896.0,Automatic,15462.0,Diesel,145.0,,2.0,BMW
 Yaris,2015.0,8772.0,Manual,17750.0,Petrol,30.0,55.0,1.3,toyota
 Insignia,2012.0,3999.0,Manual,103355.0,Diesel,30.0,65.7,2.0,vauxhall
 1 Series,2016.0,10500.0,Manual,36792.0,Diesel,,68.9,,BMW
 3 Series,2017.0,19250.0,Automatic,69000.0,Diesel,160.0,51.4,3.0,BMW
 A Class,2019.0,39960.0,Automatic,5990.0,Petrol,145.0,35.3,,merc
 Tucson,2016.0,,Manual,32919.0,Diesel,30.0,61.7,1.7,hyundi
 Astra,2019.0,15450.0,Manual,1528.0,Diesel,145.0,58.9,1.6,vauxhall
 Tiguan,2018.0,21950.0,Semi-Auto,19090.0,Petrol,145.0,40.4,1.4,volkswagen
 C Class,2014.0,15280.0,Semi-Auto,25901.0,Diesel,,,2.1,merc
 Mokka X,2018.0,,Manual,32810.0,Petrol,,47.1,1.4,vauxhall
 Yaris,2016.0,10698.0,Manual,10698.0,Petrol,30.0,,,toyota
 Fiesta,2017.0,8695.0,Manual,30078.0,Diesel,0.0,78.5,1.5,ford
 GLA Class,2017.0,20490.0,Semi-Auto,31950.0,Diesel,145.0,56.5,2.1,merc
 Q3,2016.0,20485.0,Manual,16945.0,Diesel,160.0,,2.0,Audi
 Focus,2018.0,13610.0,Manual,10490.0,Petrol,,,1.0,ford
 A Class,2019.0,21290.0,Semi-Auto,8783.0,Petrol,,,1.3,merc
 Tiguan,2019.0,,Semi-Auto,2936.0,Diesel,145.0,39.8,2.0,volkswagen
 5 Series,2015.0,14500.0,Automatic,30310.0,Diesel,30.0,62.8,2.0,BMW
 Q5,2019.0,32400.0,Semi-Auto,11612.0,Diesel,145.0,,2.0,Audi
 Golf,2015.0,,Manual,42652.0,Diesel,20.0,72.4,1.6,volkswagen
 Polo,2017.0,10990.0,Manual,12730.0,Petrol,150.0,60.1,1.0,volkswagen
 Fabia,2013.0,6495.0,Manual,48666.0,Diesel,20.0,67.3,1.2,skoda
 Q3,,29000.0,Automatic,14430.0,Petrol,150.0,31.7,2.0,Audi
 3 Series,2015.0,16299.0,Manual,,Petrol,200.0,41.5,2.0,BMW
 Yaris,2013.0,4498.0,Manual,81705.0,Petrol,30.0,,1.0,toyota
 Fiesta,2017.0,10999.0,Manual,6805.0,Petrol,0.0,65.7,1.0,ford
 1 Series,2019.0,29000.0,Semi-Auto,100.0,Diesel,150.0,48.7,2.0,BMW
 Astra,2013.0,4990.0,Manual,53000.0,Diesel,,62.8,1.7,vauxhall
 Focus,2014.0,7498.0,Manual,,Petrol,30.0,56.5,1.0,ford
 C Class,2015.0,,Automatic,,Diesel,30.0,64.2,2.1,merc
 Corsa,2018.0,8899.0,Manual,4000.0,Petrol,,55.4,1.4,vauxhall
 Up,2020.0,10791.0,Manual,,Petrol,145.0,54.3,1.0,volkswagen
 1 Series,2015.0,17271.0,Semi-Auto,37873.0,Petrol,235.0,37.7,3.0,BMW
 Focus,2019.0,14800.0,Manual,23477.0,Petrol,145.0,60.1,1.0,ford
 GLC Class,,24498.0,Semi-Auto,36058.0,Diesel,,,2.1,merc
 Insignia,2018.0,14495.0,Manual,35901.0,Diesel,145.0,54.3,2.0,vauxhall
 GLA Class,2017.0,16400.0,Automatic,53622.0,Diesel,,56.5,2.1,merc
 X1,,14200.0,Automatic,45356.0,Diesel,125.0,,2.0,BMW
 C Class,2017.0,22532.0,Semi-Auto,,Petrol,145.0,47.1,2.0,merc
 Focus,2017.0,,Manual,19340.0,Diesel,,74.3,1.5,ford
 Mokka X,,16496.0,Semi-Auto,3196.0,Petrol,145.0,37.2,1.4,vauxhall
 Fiesta,2015.0,8669.0,Manual,16925.0,Petrol,0.0,65.7,1.0,ford
 Fabia,2019.0,12990.0,Semi-Auto,14190.0,Petrol,145.0,,1.0,skoda
 Up,2016.0,7141.0,Manual,24792.0,Petrol,20.0,64.2,1.0,volkswagen
 A4,,,Manual,62266.0,Diesel,20.0,70.6,2.0,Audi
 Astra,2010.0,4250.0,Manual,82210.0,Petrol,150.0,44.8,,vauxhall
 Astra,2016.0,7991.0,Manual,23671.0,Petrol,,51.4,1.4,vauxhall
 3 Series,,24886.0,Automatic,7469.0,Petrol,145.0,43.5,2.0,BMW
 A6,2015.0,,Automatic,62890.0,Diesel,125.0,61.4,2.0,Audi
 A6,2016.0,,Automatic,31931.0,Diesel,125.0,57.6,2.0,Audi
 Fiesta,2016.0,9998.0,Semi-Auto,20069.0,Petrol,0.0,57.7,1.0,ford
 Fiesta,2009.0,,Manual,48555.0,Petrol,125.0,51.4,1.2,ford
 C Class,,29900.0,Semi-Auto,,Petrol,145.0,44.1,2.0,merc
 Kuga,2018.0,,Manual,11581.0,Petrol,145.0,39.2,1.5,ford
 1 Series,2016.0,9699.0,Manual,,Diesel,0.0,83.1,1.5,BMW
 Octavia,2016.0,15000.0,Manual,26779.0,Diesel,30.0,64.2,,skoda
 Focus,2017.0,11000.0,Manual,28840.0,Petrol,,,1.0,ford
 Golf,2018.0,10800.0,Manual,36690.0,Diesel,150.0,61.4,1.6,volkswagen
 Tiguan,2019.0,43995.0,Automatic,2927.0,Other,150.0,,2.0,volkswagen
 C Class,2018.0,21189.0,Automatic,10264.0,Diesel,,60.1,,merc
 Fiesta,2018.0,12479.0,Semi-Auto,18559.0,Petrol,145.0,48.7,1.0,ford
 Polo,2016.0,8495.0,Manual,52635.0,Petrol,,60.1,1.2,volkswagen
 5 Series,2010.0,5970.0,Automatic,116882.0,Diesel,,54.3,2.0,BMW
 3 Series,2019.0,21450.0,Semi-Auto,14009.0,Diesel,150.0,55.4,2.0,BMW
 Golf,2019.0,21990.0,Automatic,,Diesel,145.0,,2.0,volkswagen
 Mokka,2013.0,7995.0,Manual,30000.0,Diesel,30.0,62.8,1.7,vauxhall
 A Class,2016.0,14740.0,Manual,37600.0,Diesel,30.0,,2.1,merc
 1 Series,2019.0,,Manual,1906.0,Petrol,145.0,44.1,1.5,BMW
 4 Series,2019.0,24250.0,Semi-Auto,10125.0,Diesel,145.0,58.9,2.0,BMW
 Corsa,2015.0,6800.0,Manual,46678.0,Petrol,,54.3,1.4,vauxhall
 1 Series,2016.0,11469.0,Manual,33578.0,Diesel,0.0,,1.5,BMW
 A5,2019.0,33490.0,Automatic,3798.0,Petrol,145.0,37.2,2.0,Audi
 A3,,22490.0,Semi-Auto,27151.0,Petrol,200.0,39.2,2.0,Audi
 5 Series,,26350.0,Semi-Auto,6260.0,Diesel,145.0,65.7,2.0,BMW
 Golf,2019.0,24750.0,Automatic,5401.0,Diesel,145.0,49.6,2.0,volkswagen
 Astra,2017.0,8391.0,Manual,,Diesel,,83.1,1.6,vauxhall
 Golf,,11499.0,Manual,41996.0,Diesel,,67.3,1.6,volkswagen
 Fabia,2016.0,9990.0,Semi-Auto,29377.0,Petrol,20.0,60.1,1.2,skoda
 2 Series,2020.0,23990.0,Semi-Auto,9.0,Petrol,145.0,47.9,2.0,BMW
 Corsa,2019.0,,Manual,1042.0,Petrol,145.0,43.5,1.4,vauxhall
 Golf,,27790.0,Automatic,10892.0,Petrol,145.0,32.8,2.0,volkswagen
 Fiesta,2020.0,17000.0,Manual,10.0,Petrol,150.0,58.9,1.0,ford
 Focus,2019.0,19000.0,Automatic,5310.0,Petrol,145.0,46.3,1.5,ford
 Fiesta,2018.0,10750.0,Manual,31000.0,Diesel,150.0,88.3,1.5,ford
 X1,2015.0,14775.0,Manual,37679.0,Diesel,125.0,,2.0,BMW
 Astra,2019.0,11698.0,Manual,14928.0,Petrol,,51.4,1.4,vauxhall
 EcoSport,,,Manual,20491.0,Petrol,125.0,,1.0,ford
 Superb,2017.0,,Semi-Auto,33571.0,Diesel,145.0,70.6,1.6,skoda
 Focus,2009.0,3895.0,Manual,90000.0,Diesel,145.0,54.2,1.8,ford
 4 Series,2018.0,19370.0,Automatic,26739.0,Diesel,145.0,65.7,2.0,BMW
 E Class,,44400.0,Automatic,,Petrol,145.0,31.7,3.0,merc
 2 Series,2015.0,14498.0,Semi-Auto,,Petrol,145.0,47.9,2.0,BMW
 A3,2016.0,12950.0,Manual,27519.0,Diesel,20.0,70.6,1.6,Audi
 Golf,2017.0,14300.0,Manual,4062.0,Petrol,145.0,54.3,1.4,volkswagen
 Q2,2017.0,19400.0,Semi-Auto,,Diesel,145.0,57.7,,Audi
 C Class,2019.0,66699.0,Semi-Auto,630.0,Petrol,145.0,28.5,4.0,merc
 Corsa,2019.0,10695.0,Manual,3578.0,Petrol,145.0,43.5,1.4,vauxhall
 Superb,2017.0,12990.0,Manual,50093.0,Diesel,20.0,,2.0,skoda
 Yaris,2017.0,12287.0,Automatic,,Hybrid,,67.3,1.5,toyota
 Aygo,2016.0,6190.0,Manual,15980.0,Petrol,0.0,69.0,1.0,toyota
 Insignia,2015.0,7495.0,Manual,52200.0,Diesel,0.0,76.3,,vauxhall
 A1,2017.0,13000.0,Semi-Auto,17449.0,Petrol,20.0,,,Audi
 2 Series,2015.0,16950.0,Automatic,22876.0,Petrol,,,2.0,BMW
 Focus,2019.0,16107.0,Automatic,2750.0,Petrol,145.0,51.4,1.0,ford
 3 Series,,26980.0,Semi-Auto,5966.0,Diesel,145.0,52.3,2.0,BMW
 Focus,2013.0,,Manual,64960.0,Petrol,145.0,47.9,1.6,ford
 Insignia,2018.0,14998.0,Manual,25428.0,Diesel,150.0,53.3,2.0,vauxhall
 Yaris,2019.0,11485.0,Manual,11200.0,Petrol,145.0,58.9,1.5,toyota
 Yaris,2017.0,13994.0,Automatic,12834.0,Hybrid,0.0,78.0,1.5,toyota
 Q3,2019.0,25380.0,Semi-Auto,11614.0,Diesel,145.0,48.7,2.0,Audi
 A3,,13995.0,Semi-Auto,45300.0,Diesel,125.0,58.9,2.0,Audi
 C Class,2017.0,17500.0,Automatic,34476.0,Diesel,30.0,64.2,1.6,merc
 Focus,2017.0,12498.0,Manual,20554.0,Diesel,0.0,74.3,,ford
 A Class,2019.0,20450.0,Manual,8428.0,Petrol,,,1.3,merc
 Golf,2016.0,12442.0,Manual,26580.0,Petrol,30.0,53.3,1.4,volkswagen
 Q2,2019.0,21495.0,Manual,5000.0,Diesel,,49.6,1.6,Audi
 EcoSport,2017.0,10495.0,Manual,,Diesel,,64.2,1.5,ford
 Up,2016.0,6489.0,Manual,46237.0,Petrol,20.0,64.2,1.0,volkswagen
 Focus,2019.0,15295.0,Manual,13340.0,Petrol,145.0,58.9,1.0,ford
 Fiesta,2018.0,,Manual,8575.0,Petrol,,56.5,1.0,ford
 C Class,,24698.0,Semi-Auto,28631.0,Diesel,150.0,67.3,,merc
 2 Series,2018.0,19600.0,Manual,15621.0,Diesel,145.0,,,BMW
 Fiesta,2017.0,9699.0,Manual,13016.0,Petrol,0.0,65.7,1.0,ford
 Golf,2014.0,7490.0,Manual,66707.0,Diesel,0.0,68.9,1.6,volkswagen
 Polo,2019.0,14490.0,Manual,,Petrol,145.0,52.3,1.0,volkswagen
 A3,2017.0,15991.0,Manual,38837.0,Petrol,145.0,,1.5,Audi
 Aygo,2017.0,8402.0,Manual,11248.0,Petrol,145.0,68.9,,toyota
 A1,2017.0,13998.0,Manual,28752.0,Petrol,,,1.4,Audi
 Corsa,2019.0,,Manual,14436.0,Petrol,145.0,43.5,1.4,vauxhall
 3 Series,2016.0,19298.0,Semi-Auto,32382.0,Diesel,,49.6,,BMW
 Q2,2017.0,19450.0,Manual,17000.0,Petrol,145.0,50.4,1.4,Audi
 Kuga,2019.0,18999.0,Manual,8509.0,Diesel,145.0,38.2,2.0,ford
 I10,2010.0,2950.0,Manual,,Petrol,30.0,56.5,,hyundi
 X1,,22780.0,Semi-Auto,11520.0,Petrol,145.0,37.7,2.0,BMW
 Insignia,2018.0,15801.0,Automatic,27581.0,Diesel,,51.4,2.0,vauxhall
 Q2,2017.0,19999.0,Manual,47750.0,Diesel,30.0,61.4,1.6,Audi
 Corsa,2016.0,6995.0,Manual,,Petrol,30.0,55.4,,vauxhall
 Tiguan,2019.0,27990.0,Semi-Auto,3528.0,Diesel,145.0,45.6,2.0,volkswagen
 GLA Class,2016.0,20412.0,Automatic,16429.0,Diesel,125.0,56.5,2.1,merc
 Kuga,2018.0,17998.0,Manual,15575.0,Diesel,145.0,39.2,2.0,ford
 2 Series,2019.0,26706.0,Semi-Auto,49.0,Diesel,145.0,57.7,,BMW
 Mokka X,2019.0,12998.0,Manual,12051.0,Petrol,145.0,39.2,1.4,vauxhall
 Fiesta,2018.0,9790.0,Manual,13170.0,Petrol,150.0,,,ford
 A Class,2014.0,14999.0,Automatic,54533.0,Petrol,145.0,44.1,2.0,merc
 Tiguan,,26999.0,Semi-Auto,5000.0,Diesel,145.0,45.6,2.0,volkswagen
 Astra,2016.0,,Manual,40500.0,Petrol,125.0,50.4,1.4,vauxhall
 Mokka X,2017.0,12498.0,Manual,2601.0,Petrol,,47.1,1.4,vauxhall
 GLC Class,2019.0,37980.0,Automatic,6200.0,Petrol,145.0,34.0,3.0,merc
 A4,2019.0,24680.0,Automatic,14346.0,Petrol,,,2.0,Audi
 EcoSport,2015.0,9000.0,Manual,,Petrol,125.0,53.3,1.0,ford
 Astra,2016.0,9498.0,Manual,14721.0,Petrol,125.0,51.4,1.4,vauxhall
 Q3,,11140.0,Manual,,Diesel,145.0,,2.0,Audi
 Corsa,2019.0,10200.0,Manual,11469.0,Petrol,145.0,43.5,,vauxhall
 Up,,8495.0,Manual,,Petrol,20.0,64.2,1.0,volkswagen
 Yaris,2018.0,,Automatic,10099.0,Hybrid,,76.3,1.5,toyota
